,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
10767,engrus0110,Online-B,0,TGT,eng,rus,50,cnbc.com.58093,False,1629964069.605,1629964548.546
10771,engrus0110,Online-B,12,TGT,eng,rus,50,cnbc.com.58093,True,1629964531.271,1629964553.813
10783,engrus0110,NiuTrans,3,TGT,eng,rus,11,upi.228777,False,1629964592.756,1629964617.289
10800,engrus0110,NiuTrans,4,TGT,eng,rus,19,upi.228777,False,1629964617.297,1629964747.38
10806,engrus0110,NiuTrans,7,TGT,eng,rus,49,upi.228777,False,1629964770.392,1629964779.984
10808,engrus0110,NiuTrans,8,TGT,eng,rus,70,upi.228777,False,1629964779.989,1629964795.426
10812,engrus0110,NiuTrans,10,TGT,eng,rus,54,upi.228777,False,1629964810.172,1629964823.18
10813,engrus0110,NiuTrans,11,TGT,eng,rus,11,upi.228777,True,1629964823.183,1629964826.396
10828,engrus0110,Facebook-AI,4,TGT,eng,rus,50,novinite.com.40529,False,1629964890.994,1629964915.391
10834,engrus0110,Facebook-AI,6,TGT,eng,rus,59,novinite.com.40529,False,1629964935.014,1629964950.86
10837,engrus0110,Facebook-AI,7,TGT,eng,rus,56,novinite.com.40529,False,1629964950.866,1629964967.425
10841,engrus0110,Facebook-AI,13,TGT,eng,rus,19,novinite.com.40529,True,1629964988.004,1629964991.203
10854,engrus0110,Online-A,0,TGT,eng,rus,74,nytimes.268790,False,1629964992.767,1629965091.377
10856,engrus0110,Online-A,1,TGT,eng,rus,42,nytimes.268790,False,1629965091.384,1629965114.007
10871,engrus0110,Online-A,2,TGT,eng,rus,51,nytimes.268790,False,1629965114.012,1629965202.291
10876,engrus0110,Online-A,3,TGT,eng,rus,78,nytimes.268790,False,1629965234.781,1629965254.881
10936,engrus0110,Online-A,4,TGT,eng,rus,55,nytimes.268790,False,1629965254.887,1629965723.056
10951,engrus0110,Online-A,11,TGT,eng,rus,50,nytimes.268790,False,1629965840.795,1629965849.071
10954,engrus0110,Online-A,5,TGT,eng,rus,61,nytimes.268790,False,1629965723.061,1629965860.107
10959,engrus0110,Online-A,6,TGT,eng,rus,84,nytimes.268790,False,1629965860.112,1629965901.313
10973,engrus0110,Online-A,7,TGT,eng,rus,41,nytimes.268790,False,1629965915.785,1629965993.035
11025,engrus0110,Online-A,8,TGT,eng,rus,60,nytimes.268790,False,1629965993.039,1629966399.466
11034,engrus0110,Online-A,9,TGT,eng,rus,50,nytimes.268790,False,1629966399.472,1629966483.483
11040,engrus0110,Online-A,10,TGT,eng,rus,77,nytimes.268790,False,1629966483.488,1629966530.933
11042,engrus0110,Online-A,12,TGT,eng,rus,50,nytimes.268790,True,1629965849.074,1629966536.171
19038,engrus0101,Online-Y,1,TGT,eng,rus,31,guardian.306722,False,1630067438.775,1630067441.2
19044,engrus0101,Online-Y,2,TGT,eng,rus,59,guardian.306722,False,1630067598.954,1630067606.577
19104,engrus0101,Online-Y,3,TGT,eng,rus,47,guardian.306722,False,1630069288.772,1630069364.366
19111,engrus0101,Online-Y,4,TGT,eng,rus,43,guardian.306722,False,1630069644.817,1630069652.503
19112,engrus0101,Online-Y,5,TGT,eng,rus,64,guardian.306722,False,1630069817.91,1630069824.881
19167,engrus0101,Online-Y,6,TGT,eng,rus,75,guardian.306722,False,1630071155.177,1630071216.045
19245,engrus0101,Online-Y,7,TGT,eng,rus,58,guardian.306722,False,1630073204.03,1630073209.443
21295,engrus0128,translator-A,5,TGT,eng,rus,99,en.ndtv.com.75143,False,1630817587.563,1630817604.496
21326,engrus0101,Manifold,3,TGT,eng,rus,77,news.com.au.796350,False,1631290660.646,1631290661.883
21345,engrus0101,Manifold,5,TGT,eng,rus,34,news.com.au.796350,True,1631290691.091,1631290710.146
21352,engrus0101,Manifold,2,TGT,eng,rus,67,rt.com.131269,False,1631289592.87,1631289627.632
21353,engrus0101,Manifold,3,TGT,eng,rus,73,rt.com.131269,False,1631289691.605,1631289727.52
21354,engrus0101,Manifold,4,TGT,eng,rus,63,rt.com.131269,False,1631289912.042,1631289914.355
21355,engrus0101,Manifold,5,TGT,eng,rus,79,rt.com.131269,False,1631289914.359,1631289927.299
21356,engrus0101,Manifold,6,TGT,eng,rus,54,rt.com.131269,False,1631290065.873,1631290072.579
21357,engrus0101,Manifold,7,TGT,eng,rus,77,rt.com.131269,False,1631290072.584,1631290116.948
21358,engrus0101,Manifold,8,TGT,eng,rus,66,rt.com.131269,False,1631290135.308,1631290146.22
21359,engrus0101,Manifold,9,TGT,eng,rus,81,rt.com.131269,False,1631290276.656,1631290290.095
21360,engrus0101,Manifold,10,TGT,eng,rus,75,rt.com.131269,True,1631290290.097,1631290296.372
21364,engrus0101,Manifold,1,TGT,eng,rus,33,news.com.au.796350,False,1631290426.652,1631290432.019
21367,engrus0101,Online-Y,0,TGT,eng,rus,88,cbsnews.377408,False,1631290711.695,1631290737.807
21369,engrus0101,Online-Y,2,TGT,eng,rus,94,cbsnews.377408,False,1631294786.005,1631294797.116
21370,engrus0101,Online-Y,3,TGT,eng,rus,92,cbsnews.377408,False,1631294797.12,1631294876.708
21371,engrus0101,Online-Y,4,TGT,eng,rus,76,cbsnews.377408,False,1631294876.712,1631294896.636
21506,engrus012e,NiuTrans,0,TGT,eng,rus,100,cnn.480668,False,1631315600.933,1631315848.567
21537,engrus012e,NiuTrans,0,TGT,eng,rus,99,cnn.480668,False,1631316230.075,1631318184.561
21538,engrus012e,NiuTrans,1,TGT,eng,rus,99,cnn.480668,False,1631318184.572,1631318189.929
21543,engrus012e,NiuTrans,6,TGT,eng,rus,99,cnn.480668,False,1631318233.417,1631318238.928
21544,engrus012e,NiuTrans,7,TGT,eng,rus,98,cnn.480668,False,1631318238.935,1631318246.767
21545,engrus012e,NiuTrans,8,TGT,eng,rus,99,cnn.480668,False,1631318246.774,1631318255.141
21547,engrus012e,NiuTrans,9,TGT,eng,rus,98,cnn.480668,False,1631318255.147,1631318269.518
21550,engrus012e,NiuTrans,11,TGT,eng,rus,75,cnn.480668,False,1631318276.278,1631318286.11
21554,engrus012e,NiuTrans,13,TGT,eng,rus,98,cnn.480668,False,1631318295.074,1631318306.556
21557,engrus012e,NiuTrans,14,TGT,eng,rus,79,cnn.480668,False,1631318306.56,1631318347.923
21558,engrus012e,NiuTrans,15,TGT,eng,rus,100,cnn.480668,False,1631318347.928,1631318354.785
21559,engrus012e,NiuTrans,16,TGT,eng,rus,97,cnn.480668,False,1631318354.792,1631318365.119
21561,engrus012e,NiuTrans,18,TGT,eng,rus,97,cnn.480668,False,1631318371.337,1631318376.147
21563,engrus012e,NiuTrans,20,TGT,eng,rus,50,cnn.480668,True,1631318380.915,1631318383.305
21564,engrus012e,translator-A,0,TGT,eng,rus,100,rt.com.131269,False,1631318386.229,1631318405.84
21565,engrus012e,translator-A,1,TGT,eng,rus,99,rt.com.131269,False,1631318405.85,1631318418.0
21566,engrus012e,translator-A,2,TGT,eng,rus,100,rt.com.131269,False,1631318418.007,1631318432.206
21567,engrus012e,translator-A,3,TGT,eng,rus,99,rt.com.131269,False,1631318432.213,1631318444.697
21569,engrus012e,translator-A,4,TGT,eng,rus,100,rt.com.131269,False,1631318444.704,1631318456.179
21570,engrus012e,translator-A,5,TGT,eng,rus,99,rt.com.131269,False,1631318456.186,1631318464.146
21571,engrus012e,translator-A,6,TGT,eng,rus,99,rt.com.131269,False,1631318464.153,1631318478.737
21572,engrus012e,translator-A,7,TGT,eng,rus,100,rt.com.131269,False,1631318478.743,1631318490.32
21573,engrus012e,translator-A,8,TGT,eng,rus,85,rt.com.131269,False,1631318490.326,1631318503.648
21575,engrus012e,translator-A,9,TGT,eng,rus,99,rt.com.131269,False,1631318503.654,1631318525.729
21576,engrus012e,translator-A,10,TGT,eng,rus,100,rt.com.131269,True,1631318525.733,1631318529.395
21578,engrus012e,translator-A,0,TGT,eng,rus,100,abcnews.420140,False,1631318533.128,1631318541.514
21580,engrus012e,translator-A,1,TGT,eng,rus,69,abcnews.420140,False,1631318541.524,1631318560.811
21581,engrus012e,translator-A,2,TGT,eng,rus,100,abcnews.420140,False,1631318560.819,1631318570.993
21582,engrus012e,translator-A,3,TGT,eng,rus,99,abcnews.420140,False,1631318571.0,1631318577.123
21583,engrus012e,translator-A,4,TGT,eng,rus,99,abcnews.420140,False,1631318577.13,1631318582.934
21584,engrus012e,translator-A,5,TGT,eng,rus,98,abcnews.420140,False,1631318582.941,1631318591.879
21586,engrus012e,translator-A,6,TGT,eng,rus,99,abcnews.420140,False,1631318591.887,1631318599.281
21588,engrus012e,NiuTrans,6,TGT,eng,rus,90,guardian.306607,False,1631319846.334,1631319863.582
21595,engrus012e,NiuTrans,13,TGT,eng,rus,100,guardian.306607,False,1631319913.089,1631319935.078
21597,engrus012e,NiuTrans,15,TGT,eng,rus,98,guardian.306607,False,1631319945.63,1631319953.016
21601,engrus012e,NiuTrans,19,TGT,eng,rus,28,guardian.306607,True,1631319976.847,1631319979.3
21602,engrus012e,translator-A,0,TGT,eng,rus,100,news.com.au.796350,False,1631319981.067,1631319994.603
21603,engrus012e,translator-A,1,TGT,eng,rus,100,news.com.au.796350,False,1631319994.61,1631320002.457
21604,engrus012e,translator-A,2,TGT,eng,rus,99,news.com.au.796350,False,1631320002.464,1631320019.36
21605,engrus012e,translator-A,3,TGT,eng,rus,100,news.com.au.796350,False,1631320019.368,1631320024.766
21606,engrus012e,translator-A,4,TGT,eng,rus,74,news.com.au.796350,False,1631320024.772,1631320030.588
21607,engrus012e,translator-A,5,TGT,eng,rus,77,news.com.au.796350,True,1631320030.593,1631320032.67
21608,engrus012e,translator-B,0,TGT,eng,rus,100,rt.com.131263,False,1631320035.426,1631320090.563
21609,engrus012e,translator-B,1,TGT,eng,rus,98,rt.com.131263,False,1631320090.572,1631320103.366
21610,engrus012e,translator-B,2,TGT,eng,rus,99,rt.com.131263,False,1631320103.374,1631320125.458
21611,engrus012e,translator-B,3,TGT,eng,rus,98,rt.com.131263,False,1631320125.466,1631320143.263
21612,engrus012e,translator-B,4,TGT,eng,rus,85,rt.com.131263,False,1631320143.27,1631320154.085
21613,engrus012e,translator-B,5,TGT,eng,rus,100,rt.com.131263,False,1631320154.093,1631320157.243
21614,engrus012e,translator-B,6,TGT,eng,rus,100,rt.com.131263,False,1631320157.249,1631320162.307
21615,engrus012e,translator-B,7,TGT,eng,rus,98,rt.com.131263,False,1631320162.314,1631320195.278
21616,engrus012e,translator-B,8,TGT,eng,rus,99,rt.com.131263,False,1631320195.285,1631320202.676
21617,engrus012e,translator-B,9,TGT,eng,rus,98,rt.com.131263,False,1631320202.683,1631320238.608
21618,engrus012e,translator-B,10,TGT,eng,rus,98,rt.com.131263,False,1631320238.613,1631320244.099
21619,engrus012e,translator-B,11,TGT,eng,rus,97,rt.com.131263,False,1631320244.106,1631320288.764
21620,engrus012e,translator-B,12,TGT,eng,rus,99,rt.com.131263,False,1631320288.771,1631320292.22
21621,engrus012e,translator-B,13,TGT,eng,rus,99,rt.com.131263,False,1631320292.227,1631320301.581
21622,engrus012e,translator-B,14,TGT,eng,rus,99,rt.com.131263,False,1631320301.587,1631320304.027
21623,engrus012e,translator-B,15,TGT,eng,rus,98,rt.com.131263,False,1631320304.033,1631320309.297
21624,engrus012e,translator-B,16,TGT,eng,rus,98,rt.com.131263,False,1631320309.303,1631320313.316
21625,engrus012e,translator-B,17,TGT,eng,rus,97,rt.com.131263,False,1631320313.321,1631320315.498
21626,engrus012e,translator-B,18,TGT,eng,rus,95,rt.com.131263,True,1631320315.502,1631320317.607
21627,engrus012e,Facebook-AI,0,TGT,eng,rus,100,cnn.480668,False,1631320320.815,1631324320.825
21628,engrus012e,Facebook-AI,1,TGT,eng,rus,98,cnn.480668,False,1631324320.832,1631324327.161
21629,engrus012e,Facebook-AI,2,TGT,eng,rus,99,cnn.480668,False,1631324327.169,1631324332.567
21630,engrus012e,Facebook-AI,3,TGT,eng,rus,99,cnn.480668,False,1631324332.574,1631324337.446
21631,engrus012e,Facebook-AI,4,TGT,eng,rus,100,cnn.480668,False,1631324337.453,1631324343.271
21632,engrus012e,Facebook-AI,5,TGT,eng,rus,99,cnn.480668,False,1631324343.278,1631324349.753
21633,engrus012e,Facebook-AI,6,TGT,eng,rus,99,cnn.480668,False,1631324349.761,1631324355.983
21634,engrus012e,Facebook-AI,7,TGT,eng,rus,100,cnn.480668,False,1631324355.988,1631324361.569
21635,engrus012e,Facebook-AI,8,TGT,eng,rus,98,cnn.480668,False,1631324361.576,1631324364.284
21636,engrus012e,Facebook-AI,9,TGT,eng,rus,99,cnn.480668,False,1631324364.291,1631324368.946
21637,engrus012e,Facebook-AI,10,TGT,eng,rus,99,cnn.480668,False,1631324368.953,1631324371.668
21638,engrus012e,Facebook-AI,11,TGT,eng,rus,99,cnn.480668,False,1631324371.675,1631324376.147
21639,engrus012e,Facebook-AI,12,TGT,eng,rus,99,cnn.480668,False,1631324376.155,1631324870.849
21640,engrus012e,Facebook-AI,13,TGT,eng,rus,98,cnn.480668,False,1631324870.857,1631324882.849
21641,engrus012e,Facebook-AI,14,TGT,eng,rus,50,cnn.480668,False,1631324882.856,1631324890.963
21642,engrus012e,Facebook-AI,15,TGT,eng,rus,99,cnn.480668,False,1631324890.971,1631324895.678
21643,engrus012e,Facebook-AI,16,TGT,eng,rus,95,cnn.480668,False,1631324895.685,1631324899.794
21644,engrus012e,Facebook-AI,17,TGT,eng,rus,96,cnn.480668,False,1631324899.801,1631324902.765
21645,engrus012e,Facebook-AI,18,TGT,eng,rus,98,cnn.480668,False,1631324902.772,1631324906.503
21646,engrus012e,Facebook-AI,19,TGT,eng,rus,100,cnn.480668,False,1631324906.507,1631324908.122
21647,engrus012e,Facebook-AI,20,TGT,eng,rus,78,cnn.480668,True,1631324908.127,1631324910.961
21648,engrus012f,NiuTrans,3,TGT,eng,rus,100,thesun.co.uk.114364,False,1631387981.471,1631387986.935
21649,engrus012f,NiuTrans,4,TGT,eng,rus,99,thesun.co.uk.114364,False,1631387986.942,1631387994.291
21650,engrus012f,NiuTrans,5,TGT,eng,rus,99,thesun.co.uk.114364,False,1631387994.298,1631388032.09
21651,engrus012f,NiuTrans,6,TGT,eng,rus,100,thesun.co.uk.114364,False,1631388032.097,1631388036.9
21652,engrus012f,NiuTrans,7,TGT,eng,rus,73,thesun.co.uk.114364,False,1631388036.907,1631388057.006
21653,engrus012f,NiuTrans,8,TGT,eng,rus,99,thesun.co.uk.114364,False,1631388057.013,1631388068.024
21654,engrus012f,NiuTrans,9,TGT,eng,rus,99,thesun.co.uk.114364,False,1631388068.031,1631388074.104
21655,engrus012f,NiuTrans,10,TGT,eng,rus,99,thesun.co.uk.114364,False,1631388074.11,1631388085.327
21656,engrus012f,NiuTrans,11,TGT,eng,rus,99,thesun.co.uk.114364,False,1631388085.333,1631388092.878
21657,engrus012f,NiuTrans,12,TGT,eng,rus,100,thesun.co.uk.114364,False,1631388092.886,1631388101.9
21658,engrus012f,NiuTrans,13,TGT,eng,rus,100,thesun.co.uk.114364,False,1631388101.907,1631388110.294
21659,engrus012f,NiuTrans,14,TGT,eng,rus,84,thesun.co.uk.114364,False,1631388110.301,1631388120.483
21660,engrus012f,NiuTrans,15,TGT,eng,rus,92,thesun.co.uk.114364,True,1631388120.487,1631388123.317
21661,engrus012f,NVIDIA-NeMo,0,TGT,eng,rus,76,brisbanetimes.com.au.275197,False,1631388124.865,1631388135.28
21662,engrus012f,NVIDIA-NeMo,1,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631388135.289,1631388148.999
21663,engrus012f,NVIDIA-NeMo,2,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631388149.007,1631388160.2
21664,engrus012f,NVIDIA-NeMo,3,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631388160.207,1631388174.401
21672,engrus012f,NVIDIA-NeMo,4,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631388174.407,1631389098.317
21673,engrus012f,NVIDIA-NeMo,5,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389098.325,1631389106.286
21675,engrus012f,NVIDIA-NeMo,6,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389106.292,1631389124.775
21678,engrus012f,NVIDIA-NeMo,7,TGT,eng,rus,80,brisbanetimes.com.au.275197,False,1631389124.782,1631389133.397
21680,engrus012f,NVIDIA-NeMo,8,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631389133.403,1631389141.591
21681,engrus012f,NVIDIA-NeMo,9,TGT,eng,rus,79,brisbanetimes.com.au.275197,False,1631389141.598,1631389145.348
21683,engrus012f,NVIDIA-NeMo,10,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389145.355,1631389150.299
21684,engrus012f,NVIDIA-NeMo,11,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631389150.303,1631389160.821
21685,engrus012f,NVIDIA-NeMo,12,TGT,eng,rus,86,brisbanetimes.com.au.275197,False,1631389160.827,1631389165.448
21688,engrus012f,NVIDIA-NeMo,13,TGT,eng,rus,77,brisbanetimes.com.au.275197,False,1631389165.454,1631389176.102
21690,engrus012f,NVIDIA-NeMo,14,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389176.109,1631389185.024
21692,engrus012f,NVIDIA-NeMo,15,TGT,eng,rus,72,brisbanetimes.com.au.275197,False,1631389185.031,1631389196.432
21695,engrus012f,NVIDIA-NeMo,16,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389196.438,1631389205.752
21696,engrus012f,NVIDIA-NeMo,17,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631389205.759,1631389216.881
21699,engrus012f,NVIDIA-NeMo,18,TGT,eng,rus,95,brisbanetimes.com.au.275197,False,1631389216.888,1631389233.039
21700,engrus012f,NVIDIA-NeMo,19,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389233.045,1631389236.915
21704,engrus012f,NVIDIA-NeMo,20,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389236.922,1631389245.976
21705,engrus012f,NVIDIA-NeMo,21,TGT,eng,rus,99,brisbanetimes.com.au.275197,False,1631389245.983,1631389256.097
21707,engrus012f,NVIDIA-NeMo,22,TGT,eng,rus,100,brisbanetimes.com.au.275197,False,1631389256.104,1631389264.079
21708,engrus012f,NVIDIA-NeMo,23,TGT,eng,rus,84,brisbanetimes.com.au.275197,True,1631389264.083,1631389266.269
