word,upos,xpos,deprel,case,gender,number,animacy,score,ner
был,VERB,,root,,Masc,Sing,,0.0286757860778624,NONE
общий,ADJ,,amod,Nom,Masc,Sing,,-0.0319707791316608,NONE
забор,NOUN,,nsubj,Nom,Masc,Sing,Inan,0.1539685782224902,NONE
с,ADP,,case,,,,,-0.0753581419922946,NONE
этими,DET,,det,Ins,,Plur,,-0.1169009930530977,NONE
соседями,NOUN,,nmod,Ins,Masc,Plur,Anim,0.1873177520186299,NONE
.,PUNCT,,punct,,,,,0.5991978231598546,NONE
Его,PRON,,obj,Acc,Masc,Sing,,-0.1118286039666393,NONE
могли,VERB,,root,,,Plur,,-0.0549495218710225,NONE
потерять,VERB,,xcomp,,,,,0.6216389166361579,NONE
?,PUNCT,,punct,,,,,0.7726649588929025,NONE
Они,PRON,,nsubj,Nom,,Plur,,-0.469907102025705,NONE
это,PRON,,obj,Acc,Neut,Sing,Inan,0.0517919434536269,NONE
твердили,VERB,,root,,,Plur,,0.1371171186329839,NONE
с,ADP,,case,,,,,-0.0759928246629954,NONE
момента,NOUN,,obl,Gen,Masc,Sing,Inan,-0.0027244532747939,NONE
его,DET,,det,,,,,0.1782678751511204,NONE
смерти,NOUN,,nmod,Gen,Fem,Sing,Inan,0.0675716283735707,NONE
.,PUNCT,,punct,,,,,0.6016480337936063,NONE
Саут-Лейк-Тахо,PROPN,,root,Nom,Masc,Sing,Inan,0.0189994478427005,LOC
",",PUNCT,,punct,,,,,0.4010992148922229,NONE
Калифорния,PROPN,,conj,Nom,Fem,Sing,Inan,0.0350158344289759,LOC
-,PUNCT,,punct,,,,,0.3641126764026379,NONE
Несмотря,ADV,,case,,,,,-0.0414662217121747,NONE
на,ADP,,fixed,,,,,-0.0138319343397545,NONE
пандемию,NOUN,,obl,Acc,Fem,Sing,Inan,-0.002639018874961,NONE
даже,PART,,advmod,,,,,-0.4497634898926673,NONE
в,ADP,,case,,,,,0.1347702156650914,NONE
будний,ADJ,,amod,Acc,Masc,Sing,Inan,0.0157000004539567,NONE
день,NOUN,,obl,Acc,Masc,Sing,Inan,0.1486818655030556,NONE
люди,NOUN,,nsubj,Nom,Masc,Plur,Anim,-0.0430624745282044,NONE
все,PRON,,advmod,Nom,Neut,Sing,Inan,-0.0147851458069819,NONE
равно,ADJ,,fixed,,Neut,Sing,,-0.0702318319866941,NONE
наполняют,VERB,,parataxis,,,Plur,,0.0386001193400192,NONE
Поуп-Бич,PROPN,,obj,Acc,Masc,Sing,Inan,0.3040783658762198,LOC
на,ADP,,case,,,,,0.0609948092559658,NONE
озере,NOUN,,obl,Loc,Neut,Sing,Inan,0.085766425624338,NONE
Тахо,PROPN,,appos,Nom,Masc,Sing,Inan,0.0413731407240105,LOC
.,PUNCT,,punct,,,,,0.153903704232986,NONE
Это,DET,,det,Nom,Neut,Sing,,0.1201154203395956,NONE
изменение,NOUN,,nsubj,Nom,Neut,Sing,Inan,-0.0619010953872752,NONE
пришло,VERB,,root,,Neut,Sing,,0.1948452071722828,NONE
с,ADP,,case,,,,,-0.1105662409900267,NONE
обеих,NUM,,nummod,Gen,Fem,,,0.0345945240963597,NONE
сторон,NOUN,,obl,Gen,Fem,Plur,Inan,0.3435248883332811,NONE
и,CCONJ,,cc,,,,,0.0611617662061741,NONE
произошло,VERB,,conj,,Neut,Sing,,0.0124706723326984,NONE
до,ADP,,case,,,,,-0.561966556038984,NONE
прихода,NOUN,,obl,Gen,Masc,Sing,Inan,0.0151879478822342,NONE
Макинани,PROPN,,nmod,Gen,Masc,Sing,Anim,-0.0143650228369344,PER
.,PUNCT,,punct,,,,,0.6673195019762559,NONE
Отслеживайте,VERB,,root,,,Plur,,0.1262427757377058,PER
число,NOUN,,obj,Acc,Neut,Sing,Inan,0.1195541099062735,NONE
просмотров,NOUN,,nmod,Gen,Masc,Plur,Inan,0.0237607385339099,NONE
страницы,NOUN,,nmod,Gen,Fem,Sing,Inan,0.018085038724422,NONE
с,ADP,,case,,,,,0.0069094739594417,NONE
помощью,NOUN,,fixed,Ins,Fem,Sing,Inan,0.0022852122426386,NONE
БЕСПЛАТНОГО,ADJ,,amod,Gen,Masc,Sing,,0.1520452142362959,NONE
счетчика,NOUN,,obl,Gen,Masc,Sing,Inan,0.0873324970265559,NONE
для,ADP,,case,,,,,0.0921156044622186,NONE
веб-сайтов,NOUN,,nmod,Gen,Masc,Plur,Inan,0.014366552952313,NONE
Auctiva,PROPN,,flat:foreign,,,,,0.013273162846615,ORG
Могу,VERB,,root,,,Sing,,-0.3538741954964668,NONE
я,PRON,,nsubj,Nom,,Sing,,-0.0062707110938048,NONE
узнать,VERB,,xcomp,,,,,0.4807305777629961,NONE
",",PUNCT,,punct,,,,,0.202127952407299,NONE
вы,PRON,,nsubj,Nom,,Plur,,-0.2456385950222342,NONE
все,PART,,advmod,,,,,-0.1209082387944348,NONE
еще,ADV,,advmod,,,,,0.1514755504555464,NONE
будете,AUX,,aux,,,Plur,,-0.2861812375233636,NONE
ждать,VERB,,ccomp,,,,,-0.3718905838493197,NONE
заказ,NOUN,,obj,Acc,Masc,Sing,Inan,0.2121174487188967,NONE
?,PUNCT,,punct,,,,,0.4288541023660856,NONE
Если,SCONJ,,mark,,,,,0.0195572871144544,NONE
соответствие,NOUN,,nsubj,Nom,Neut,Sing,Inan,-0.0738639702953586,NONE
между,ADP,,case,,,,,0.0341110895471332,NONE
фирмами,NOUN,,nmod,Ins,Fem,Plur,Inan,0.0437201053279641,NONE
и,CCONJ,,cc,,,,,0.0406700239862948,NONE
сотрудниками,NOUN,,conj,Ins,Masc,Plur,Anim,0.0392708497614781,NONE
остается,VERB,,advcl,,,Sing,,-0.0045616735058585,NONE
нетронутым,ADJ,,obl,Ins,Neut,Sing,,0.1234529385564644,NONE
",",PUNCT,,punct,,,,,0.0069379282316686,NONE
экономика,NOUN,,nsubj:pass,Nom,Fem,Sing,Inan,0.1252267985630881,NONE
лучше,ADV,,advmod,,,,,0.0782572849253354,NONE
подготовлена,VERB,,root,,Fem,Sing,,0.9026589037239816,NONE
к,ADP,,case,,,,,-0.034852727337224,NONE
быстрому,ADJ,,amod,Dat,Neut,Sing,,0.0711493674584448,NONE
восстановлению,NOUN,,obl,Dat,Neut,Sing,Inan,0.1470729601906229,NONE
.,PUNCT,,punct,,,,,0.0826613723993138,NONE
Да,PART,,parataxis,,,,,-0.0800374083257273,NONE
",",PUNCT,,punct,,,,,0.0596548436731849,NONE
до,ADP,,case,,,,,0.0025163404001697,NONE
восьми,NUM,,root,Gen,,,,0.0420858291466477,NONE
утра,NOUN,,nmod,Gen,Neut,Sing,Inan,0.0223901382057292,NONE
",",PUNCT,,punct,,,,,0.1497211880703647,NONE
пока,SCONJ,,mark,,,,,-0.0198129201519244,NONE
двое,NUM,,nummod:gov,Nom,,,,0.0874604859896559,NONE
или,CCONJ,,cc,,,,,0.0037130603903753,NONE
трое,NUM,,conj,Nom,,,,0.0423784066235736,NONE
сыновей,NOUN,,nsubj,Gen,Masc,Plur,Anim,0.1166952999081868,NONE
не,PART,,advmod,,,,,0.0125856376755474,NONE
забарабанят,VERB,,advcl,,,Plur,,0.2314743358909852,NONE
в,ADP,,case,,,,,0.1100932513960222,NONE
дверь,NOUN,,obl,Acc,Fem,Sing,Inan,0.1557434040740721,NONE
",",PUNCT,,punct,,,,,0.2592460502277726,NONE
требуя,VERB,,advcl,,,,,0.1044053225869668,NONE
завтрака,NOUN,,obl,Gen,Masc,Sing,Inan,-0.0180806113064141,NONE
.,PUNCT,,punct,,,,,-0.1958166692712038,NONE
Теперь,ADV,,advmod,,,,,-0.5734186925705971,NONE
служители,NOUN,,nsubj,Nom,Masc,Plur,Anim,-0.110985306450418,NONE
опасаются,VERB,,root,,,Plur,,0.0638637899709658,NONE
",",PUNCT,,punct,,,,,0.0207214558028052,NONE
что,SCONJ,,mark,,,,,-0.2683267849719704,NONE
посетили,VERB,,ccomp,,,Plur,,0.0417051990820697,NONE
«ради,ADP,,case,,,,,-0.0599878841870257,NONE
смеха»,NOUN,,obl,Gen,Fem,Plur,Inan,0.0397495383995083,NONE
дают,VERB,,ccomp,,,Plur,,0.0430293039656001,NONE
им,PRON,,iobj,Dat,,Plur,,-0.0475079467832136,NONE
смертельно,ADV,,obl,,,,,0.1364395435435567,NONE
опасные,ADJ,,amod,Acc,,Plur,Inan,0.1083248929545704,NONE
предметы,NOUN,,obj,Acc,Masc,Plur,Inan,0.0331148981762607,NONE
",",PUNCT,,punct,,,,,-0.0734292920776837,NONE
подстрекая,VERB,,advcl,,,,,0.1674939361062131,NONE
к,ADP,,case,,,,,-0.0007024135467179,NONE
нападениям,NOUN,,obl,Dat,Neut,Plur,Inan,0.1222716932969973,NONE
.,PUNCT,,punct,,,,,0.0065275923561636,NONE
Они,PRON,,nsubj,Nom,,Plur,,-0.0735428580400317,NONE
также,ADV,,advmod,,,,,-0.2063698978494364,NONE
видели,VERB,,root,,,Plur,,0.0474998305134332,NONE
",",PUNCT,,punct,,,,,-0.0245759610525339,NONE
как,SCONJ,,mark,,,,,-0.0408785711973596,NONE
обезьяны,NOUN,,nsubj,Nom,Fem,Plur,Anim,0.1313137709653009,NONE
сами,ADJ,,obl,Nom,,Plur,,-0.0202269132256045,NONE
роются,VERB,,ccomp,,,Plur,,0.1036193407334629,NONE
в,ADP,,case,,,,,0.0473814473771917,NONE
ящиках,NOUN,,obl,Loc,Masc,Plur,Inan,0.1408743498504481,NONE
с,ADP,,case,,,,,0.0671260154145542,NONE
инструментами,NOUN,,nmod,Ins,Masc,Plur,Inan,0.0377438921931478,NONE
.,PUNCT,,punct,,,,,-0.4901159764149459,NONE
Вместо,ADP,,case,,,,,0.0100470850573838,NONE
того,PRON,,obl,Gen,Neut,Sing,Inan,-0.1055516218150814,NONE
",",PUNCT,,punct,,,,,0.0935669087803018,NONE
чтобы,SCONJ,,mark,,,,,-0.0979713624472432,NONE
пойти,VERB,,advcl,,,,,-0.0763606552126135,NONE
туда,ADV,,advmod,,,,,-0.0462846170213773,NONE
",",PUNCT,,punct,,,,,-0.0014435540246659,NONE
экипаж,NOUN,,nsubj,Nom,Masc,Sing,Inan,0.0018277502961975,NONE
мостика,NOUN,,nmod,Gen,Masc,Sing,Inan,0.513200295478054,NONE
спускался,VERB,,root,,Masc,Sing,,0.108671460724154,NONE
на,ADP,,case,,,,,0.1366341193845509,NONE
турболифте,NOUN,,obl,Loc,Masc,Sing,Inan,0.3739870320007009,NONE
прямо,ADV,,obl,,,,,0.0193955855959524,NONE
на,ADP,,case,,,,,0.0389195905682432,NONE
палубу,NOUN,,obl,Acc,Fem,Sing,Inan,0.4108260775640667,NONE
13,NUM,,nummod:entity,,,,,0.1762254573418852,NONE
.,PUNCT,,punct,,,,,0.0575764785472196,NONE
Помимо,ADP,,case,,,,,0.358633209820747,NONE
министра,NOUN,,obl,Gen,Masc,Sing,Anim,0.1989809244864118,NONE
внутренних,ADJ,,amod,Gen,,Plur,,0.1737369115391081,NONE
дел,NOUN,,nmod,Gen,Neut,Plur,Inan,0.1478756276582662,NONE
в,ADP,,case,,,,,-0.1136119233586321,NONE
уходящем,VERB,,amod,Loc,Neut,Sing,,0.0290041774769738,NONE
правительстве,NOUN,,nmod,Loc,Neut,Sing,Inan,0.2655332524340076,NONE
",",PUNCT,,punct,,,,,-0.2603826251716412,NONE
Машиш,PROPN,,nsubj,Nom,Masc,Sing,Anim,0.0982810395572662,PER
является,VERB,,root,,,Sing,,-0.3116778916745918,NONE
советников,NOUN,,obl,Ins,Masc,Plur,Anim,0.2864874068816183,NONE
президента,NOUN,,nmod,Gen,Masc,Sing,Anim,0.0337209061503421,NONE
Саида,PROPN,,nmod,Gen,Masc,Sing,Inan,0.1322923152349503,PER
по,ADP,,case,,,,,0.1784122176399351,NONE
юридическим,ADJ,,amod,Dat,,Plur,,0.056652457857727,NONE
вопросам,NOUN,,nmod,Dat,Masc,Plur,Inan,0.2408247755907029,NONE
.,PUNCT,,punct,,,,,0.462966495583426,NONE
Бывший,ADJ,,amod,Nom,Masc,Sing,,0.2144279995650977,NONE
премьер-министр,NOUN,,nsubj,Nom,Masc,Sing,Anim,0.0108610604529816,NONE
Дигвиджайа,PROPN,,appos,Nom,Masc,Sing,Anim,0.0517299192250974,PER
Сингх,PROPN,,flat:name,Nom,Masc,Sing,Anim,0.0205957964591302,PER
предложил,VERB,,root,,Masc,Sing,,-0.22551956930677,NONE
финансовую,ADJ,,amod,Acc,Fem,Sing,,0.0445753510605683,NONE
поддержку,NOUN,,obj,Acc,Fem,Sing,Inan,-0.1710012225725182,NONE
и,CCONJ,,cc,,,,,-0.1385815844320967,NONE
помощь,NOUN,,conj,Acc,Fem,Sing,Inan,-0.0118837211991065,NONE
в,ADP,,case,,,,,-0.1679002996130193,NONE
поступлении,NOUN,,nmod,Loc,Neut,Sing,Inan,-0.076332617852766,NONE
детей,NOUN,,nmod,Gen,Masc,Plur,Anim,0.0525839643311202,NONE
в,ADP,,case,,,,,0.0332809896474426,NONE
колледж,NOUN,,nmod,Acc,Masc,Sing,Inan,-0.0406074265176945,NONE
.,PUNCT,,punct,,,,,0.1058417539012414,NONE
Рамеш,PROPN,,nsubj,Nom,Masc,Sing,Anim,-0.0007817463681539,PER
Мендола,PROPN,,appos,Nom,Masc,Sing,Anim,0.0279993971512058,PER
",",PUNCT,,punct,,,,,0.1109809877454381,NONE
член,NOUN,,appos,Nom,Masc,Sing,Anim,-0.1392892014137064,NONE
Законодательного,ADJ,,amod,Gen,Neut,Sing,,0.1916210116095019,ORG
собрания,NOUN,,nmod,Gen,Neut,Sing,Inan,-0.1508190667683949,ORG
от,ADP,,case,,,,,-0.0506924237461173,NONE
Индаура,PROPN,,nmod,Gen,Masc,Sing,Inan,0.0076898524667586,PER
из,ADP,,case,,,,,-0.0199092418439862,NONE
партии,NOUN,,nmod,Gen,Fem,Sing,Inan,0.0798316802455423,NONE
БДП,PROPN,,appos,Nom,Fem,Sing,Inan,0.0233315591368341,ORG
",",PUNCT,,punct,,,,,0.0515474890440724,NONE
пообещал,VERB,,root,,Masc,Sing,,0.0722192299353514,NONE
предоставить,VERB,,xcomp,,,,,-0.1635406619746681,NONE
мальчику,NOUN,,iobj,Dat,Masc,Sing,Anim,0.0648234423122389,NONE
дом,NOUN,,obj,Acc,Masc,Sing,Inan,0.167001866282308,NONE
в,ADP,,case,,,,,-0.152976218950144,NONE
рамках,NOUN,,obl,Loc,Fem,Plur,Inan,-0.2336997541052923,NONE
программы,NOUN,,nmod,Gen,Fem,Sing,Inan,-0.0559665931446828,NONE
Прадхан,PROPN,,nmod,Gen,Masc,Sing,Anim,0.1646693194732515,PER
Мантри,PROPN,,flat:name,Gen,Masc,Sing,Anim,0.01074334660317,PER
Аваас,PROPN,,flat:name,Gen,Masc,Sing,Anim,0.0493944330596657,PER
Йоджана,PROPN,,flat:name,Gen,Masc,Sing,Anim,0.3341168330473433,PER
.,PUNCT,,punct,,,,,-0.1815720048761338,NONE
В,ADP,,advmod,,,,,0.1275309222984812,NONE
настоящее,ADJ,,fixed,Acc,Neut,Sing,Inan,0.4589375490116827,NONE
время,NOUN,,fixed,Acc,Neut,Sing,Inan,0.2018063550282507,NONE
у,ADP,,case,,,,,-0.0771756693756584,NONE
нас,PRON,,obl,Gen,,Plur,,-0.0205161101207457,NONE
нет,VERB,,root,,,Sing,,-0.0223866591616881,NONE
точной,ADJ,,amod,Gen,Fem,Sing,,0.1012404019451256,NONE
информации,NOUN,,nsubj,Gen,Fem,Sing,Inan,-0.2362772139421729,NONE
о,ADP,,case,,,,,0.1106011697708855,NONE
том,PRON,,nmod,Loc,Neut,Sing,Inan,0.0527149185802865,NONE
",",PUNCT,,punct,,,,,0.3680557548944558,NONE
что,PRON,,nsubj,Nom,,,,-0.1511519528680763,NONE
случилось,VERB,,acl,,Neut,Sing,,-0.1583224201291652,NONE
с,ADP,,case,,,,,0.2527363679037568,NONE
водителем,NOUN,,obl,Ins,Masc,Sing,Anim,0.109051566826758,NONE
и,CCONJ,,cc,,,,,-0.1665931251502172,NONE
с,ADP,,case,,,,,0.1891475375426168,NONE
вашим,DET,,det,Ins,Masc,Sing,,0.1511013298871469,NONE
заказом,NOUN,,conj,Ins,Masc,Sing,Inan,0.126616521727471,NONE
.,PUNCT,,punct,,,,,0.4073527919495615,NONE
Урок,NOUN,,nsubj,Nom,Masc,Sing,Inan,0.0035079430847999,NONE
здесь,ADV,,advmod,,,,,-0.1106757193886398,NONE
в,ADP,,case,,,,,-0.0320991915278698,NONE
том,PRON,,root,Loc,Neut,Sing,Inan,0.0643216178899738,NONE
",",PUNCT,,punct,,,,,0.0750080644295154,NONE
что,SCONJ,,mark,,,,,-0.0527968784775647,NONE
если,SCONJ,,mark,,,,,-0.0256074546984583,NONE
нельзя,ADV,,advcl,,,,,-0.261230264761836,NONE
сделать,VERB,,csubj,,,,,-0.2638764355557602,NONE
это,PRON,,obj,Acc,Neut,Sing,Inan,-0.0523954766884569,NONE
на,ADP,,case,,,,,-0.1258877580480765,NONE
Тахо,PROPN,,obl,Acc,Neut,Sing,Inan,0.0752050548903214,LOC
",",PUNCT,,punct,,,,,0.3077414576567346,NONE
то,SCONJ,,mark,,,,,0.0171517025787303,NONE
какая,DET,,det,Nom,Fem,Sing,,0.0005366795238382,NONE
надежда,NOUN,,nsubj,Nom,Fem,Sing,Inan,0.1314407491466924,NONE
остается,VERB,,acl,,,Sing,,0.0601883343630868,NONE
для,ADP,,case,,,,,-0.1460493513748213,NONE
всех,DET,,det,Gen,,Plur,,0.0584745481579618,NONE
тех,DET,,det,Gen,,Plur,,0.0901313369212467,NONE
рек,NOUN,,obl,Gen,Fem,Plur,Inan,0.0804374368382849,NONE
и,CCONJ,,cc,,,,,0.03915827559117,NONE
эстуариев,NOUN,,conj,Gen,Masc,Plur,Inan,0.1004204816975209,NONE
",",PUNCT,,punct,,,,,-0.0813476464334947,NONE
ручьев,NOUN,,conj,Gen,Masc,Plur,Inan,0.1466316479770011,NONE
и,CCONJ,,cc,,,,,0.0090295091548322,NONE
озер,NOUN,,conj,Gen,Neut,Plur,Inan,0.0767566595102298,NONE
по,ADP,,case,,,,,-0.0314146955566232,NONE
всей,DET,,det,Dat,Fem,Sing,,-0.1490497383395213,NONE
стране,NOUN,,nmod,Dat,Fem,Sing,Inan,-0.041363121098771,NONE
",",PUNCT,,punct,,,,,0.1829855363401145,NONE
которые,PRON,,nsubj,Nom,,,,-0.0278971698155443,NONE
никогда,ADV,,advmod,,,,,-0.0093010737852686,NONE
не,PART,,advmod,,,,,-0.3642848482543476,NONE
получат,VERB,,acl:relcl,,,Plur,,0.0375093925253952,NONE
того,DET,,det,Gen,Neut,Sing,,0.1753588759436261,NONE
же,PART,,advmod,,,,,-0.0373121258472627,NONE
внимания,NOUN,,obl,Gen,Neut,Sing,Inan,0.1241286283657483,NONE
и,CCONJ,,cc,,,,,0.0232095027695413,NONE
тех,DET,,det,Gen,,Plur,,0.1870202179559661,NONE
же,PART,,advmod,,,,,0.1047655268333675,NONE
ресурсов,NOUN,,conj,Gen,Masc,Plur,Inan,0.0652919050288057,NONE
?,PUNCT,,punct,,,,,-0.1524044957326142,NONE
-,PUNCT,,punct,,,,,0.216314558890557,NONE
сказал,VERB,,parataxis,,Masc,Sing,,0.1374716906937225,NONE
Шладов,PROPN,,nsubj,Nom,Masc,Sing,Anim,0.183909859160745,PER
.,PUNCT,,punct,,,,,0.0628475265590753,NONE
Но,CCONJ,,cc,,,,,-0.4495528144662871,NONE
некоторые,DET,,det,Nom,,Plur,,0.0373716553158246,NONE
места,NOUN,,nsubj:pass,Nom,Neut,Plur,Inan,0.0499183239988152,NONE
",",PUNCT,,punct,,,,,0.1450169728762444,NONE
в,ADP,,discourse,,,,,0.1031965372713169,NONE
частности,NOUN,,fixed,Loc,Fem,Sing,Inan,-0.0394616837061549,NONE
",",PUNCT,,punct,,,,,0.1980210133820636,NONE
рекламный,ADJ,,amod,Nom,Masc,Sing,,0.1687918739992516,NONE
щит,NOUN,,parataxis,Nom,Masc,Sing,Inan,0.0360572861759523,NONE
oOh!media,X,,flat:foreign,,,,,0.1858647590930642,NONE
размером,NOUN,,nmod,Ins,Masc,Sing,Inan,0.0346229911054249,NONE
40,NUM,,nummod,,,,,-0.0088538753303997,NONE
на,ADP,,case,,,,,0.0249826977477817,NONE
10,NUM,,nummod,,,,,-0.0513142972140985,NONE
метров,NOUN,,nmod,Gen,Masc,Plur,Inan,0.0797597327751634,NONE
в,ADP,,case,,,,,0.1571717678943125,NONE
аэропорту,NOUN,,nmod,Loc,Masc,Sing,Inan,0.0316669465243695,NONE
Сиднея,PROPN,,nmod,Gen,Masc,Sing,Inan,0.4778534005860748,LOC
",",PUNCT,,punct,,,,,0.1771731595989647,NONE
были,AUX,,aux:pass,,,Plur,,0.0573578396341512,NONE
модернизированы,VERB,,root,,,Plur,,0.052424560690678,NONE
.,PUNCT,,punct,,,,,-0.0744795675468014,NONE
Должен,ADJ,,root,,Masc,Sing,,0.169260479476358,NONE
работать,VERB,,xcomp,,,,,-0.1079498733960358,NONE
любой,DET,,det,Nom,Masc,Sing,,-0.5808476047738083,NONE
универсальный,ADJ,,amod,Nom,Masc,Sing,,0.1178372378777435,NONE
кабель,NOUN,,nsubj,Nom,Masc,Sing,Inan,0.4241232359864919,NONE
micro-USB,X,,flat:foreign,,,,,0.1080633851237184,NONE
.,PUNCT,,punct,,,,,0.3776334993352696,NONE
Он,PRON,,nsubj,Nom,Masc,Sing,,-0.0368207249532969,NONE
говорит,VERB,,root,,,Sing,,0.0180624890032298,NONE
",",PUNCT,,punct,,,,,-0.0402011007841324,NONE
что,SCONJ,,mark,,,,,-0.3259145842409908,NONE
референдум,NOUN,,nsubj,Nom,Masc,Sing,Inan,-0.1221045609526449,NONE
был,AUX,,cop,,Masc,Sing,,-0.2663793243691789,NONE
некорректен,ADJ,,ccomp,,Masc,Sing,,0.0820285775543825,NONE
и,CCONJ,,cc,,,,,0.0510041741587626,NONE
поэтому,ADV,,advmod,,,,,-0.1234659859201842,NONE
он,PRON,,nsubj,Nom,Masc,Sing,,0.0964879184551765,NONE
доволен,ADJ,,conj,,Masc,Sing,,-0.0595465448786536,NONE
тем,PRON,,obl,Ins,Neut,Sing,Inan,0.1088677040033893,NONE
",",PUNCT,,punct,,,,,0.0621471922391222,NONE
что,SCONJ,,mark,,,,,-0.2010185977145567,NONE
власть,NOUN,,nsubj,Nom,Fem,Sing,Inan,0.0328065565030887,NONE
снова,ADV,,advmod,,,,,-0.0824678628845936,NONE
в,ADP,,case,,,,,0.1046394354020129,NONE
руках,NOUN,,acl,Loc,Fem,Plur,Inan,-0.0432466368935521,NONE
парламента,NOUN,,nmod,Gen,Masc,Sing,Inan,0.0864765898679417,NONE
",",PUNCT,,punct,,,,,-0.046569918660619,NONE
потому,ADV,,mark,,,,,-0.2461372154159917,NONE
что,SCONJ,,fixed,,,,,-0.0915763542049516,NONE
52,NUM,,nummod,,,,,0.0049835367755688,NONE
процента,NOUN,,nsubj,Gen,Masc,Sing,Inan,0.0340465320890092,NONE
не,PART,,advmod,,,,,0.0222909909121874,NONE
должны,ADJ,,advcl,,,Plur,,-0.0183385203894894,NONE
получить,VERB,,xcomp,,,,,-0.4831262561737454,NONE
100,NUM,,nummod,,,,,-0.2756234527611935,NONE
процентов,NOUN,,obl,Gen,Masc,Plur,Inan,-0.0576957427836711,NONE
своей,DET,,det,Gen,Fem,Sing,,-0.0036575846267086,NONE
победы,NOUN,,nmod,Gen,Fem,Sing,Inan,0.1842059170868916,NONE
.,PUNCT,,punct,,,,,-0.4614742732056216,NONE
Queen,PROPN,,nsubj,,,,,0.0201355128318634,NONE
и,CCONJ,,cc,,,,,-0.0934598183164799,NONE
Адам,PROPN,,conj,Nom,Masc,Sing,Anim,0.1723159249916438,PER
Ламберт,PROPN,,flat:name,Nom,Masc,Sing,Anim,0.054368018239325,PER
:,PUNCT,,punct,,,,,-0.0845337716781264,NONE
Брайан,PROPN,,nsubj,Nom,Masc,Sing,Anim,0.1183529297086648,PER
Мэй,PROPN,,flat:name,Nom,Masc,Sing,Anim,0.2136499771977164,PER
справляет,VERB,,parataxis,,,Sing,,0.0850547462967563,NONE
день,NOUN,,obj,Acc,Masc,Sing,Inan,0.2187786258181885,NONE
рождения,NOUN,,nmod,Gen,Neut,Sing,Inan,-0.0258748679963322,NONE
Роджера,PROPN,,nmod,Gen,Masc,Sing,Anim,0.2786517165624028,PER
Тейлора,PROPN,,flat:name,Gen,Masc,Sing,Anim,0.8355966865261518,PER
В,ADP,,case,,,,,0.0533043675044389,NONE
нескольких,NUM,,nummod,Loc,,,,0.0528983238650038,NONE
случаях,NOUN,,obl,Loc,Masc,Plur,Inan,0.0185733195650272,NONE
(,PUNCT,,punct,,,,,-0.3189750236359797,NONE
на,ADP,,case,,,,,0.1857682146891789,NONE
протяжении,NOUN,,parataxis,Loc,Neut,Sing,Inan,-0.413242396894212,NONE
множества,NOUN,,nmod,Gen,Neut,Sing,Inan,-0.1790695360125958,NONE
локдаунов,NOUN,,nmod,Gen,Masc,Plur,Inan,0.2224866961331184,NONE
),PUNCT,,punct,,,,,-0.0023781832958284,NONE
когда,SCONJ,,mark,,,,,0.0584067275948322,NONE
я,PRON,,nsubj,Nom,,Sing,,0.0651883191065473,NONE
видел,VERB,,advcl,,Masc,Sing,,-0.0757032643067103,NONE
